table with row headers in column A and column headers in rows 5 to 7. Leading dots indicate subparts.,,,,,,,,,,,,
Table 10. Marital Status of the Population 15 Years and Over by Sex and Age: 2011,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population1),,,,,,,,,,,,
,,,,,,,,,,,,
Sex and age ,Total,,Marital status,,,,,,,,,
,,,Married2,,Widowed,,Divorced,,Separated,,Never married,
Female,"125,084",100,"61,919",49.5,"11,310",9,"13,770",11,"3,094",2.5,"34,991",28
   .15 to 17 years,"6,191",100,41,0.7,5,0.1,9,0.1,64,1,"6,073",98.1
   .18 to 24 years,"14,570",100,"1,807",12.4,17,0.1,183,1.3,216,1.5,"12,346",84.7
   .25 to 29 years,"10,464",100,"4,427",42.3,43,0.4,440,4.2,306,2.9,"5,247",50.1
   .30 to 34 years,"10,135",100,"6,046",59.7,44,0.4,835,8.2,348,3.4,"2,862",28.2
   .35 to 39 years,"9,713",100,"6,213",64,83,0.9,"1,197",12.3,394,4.1,"1,826",18.8
   .40 to 44 years,"10,415",100,"6,901",66.3,129,1.2,"1,472",14.1,381,3.7,"1,532",14.7
   .45 to 49 years,"11,189",100,"7,265",64.9,320,2.9,"1,787",16,401,3.6,"1,416",12.7
   .50 to 54 years,"11,270",100,"7,285",64.6,495,4.4,"1,949",17.3,360,3.2,"1,182",10.5
   .55 to 59 years,"10,055",100,"6,494",64.6,662,6.6,"1,801",17.9,244,2.4,854,8.5
   .60 to 64 years,"8,983",100,"5,554",61.8,986,11,"1,584",17.6,169,1.9,691,7.7
   .65 to 69 years,"6,561",100,"3,825",58.3,"1,167",17.8,"1,120",17.1,80,1.2,368,5.6
   .70 to 74 years,"5,012",100,"2,635",52.6,"1,469",29.3,623,12.4,60,1.2,225,4.5
   .75 to 79 years,"4,023",100,"1,781",44.3,"1,655",41.1,382,9.5,44,1.1,162,4
   .80 to 84 years,"3,349",100,"1,064",31.8,"1,916",57.2,252,7.5,17,0.5,101,3
   .85 years and over,"3,153",100,581,18.4,"2,318",73.5,136,4.3,11,0.3,107,3.4
A dash (-) represents zero or rounds to 0.0.,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,
,,,,,,,,,,,,
1Plus armed forces living off post or with their families on post.,,,,,,,,,,,,
2Excludes separated.,,,,,,,,,,,,
,,,,,,,,,,,,
"SOURCE: U.S. Census Bureau, Current Population Survey, Annual Social and Economic Supplement, 2011.",,,,,,,,,,,,
Internet release date: November 2012,,,,,,,,,,,,
